Tiêu đề dự án,Giá,Diện tích,Giá/m²,Địa chỉ,Số phòng ngủ,Số phòng vệ sinh,Ngày đăng
"Đừơng nhựa 7m, P1 Q8 kế Quận 1, DT 49m2 ngang 4,1m - ô tô ngủ trong nhà","6,5 tỷ",49 m²,"132,65 tr/m²","Quận 8, Hồ Chí Minh",4,4,02/10/2025
"Chủ bán gấp con đi du học, nhà đang có hợp đồng thuê","10,5 tỷ",138 m²,"76,09 tr/m²","Quận 2, Hồ Chí Minh",3,2,02/10/2025
Tôi cần bán nhà quận 10 - sát mặt tiền Trường Sơn - Hồ Bá Kiện 68m2 thang máy - HĐ thuê 35tr/tháng,"14,99 tỷ",68 m²,"220,44 tr/m²","Quận 10, Hồ Chí Minh",6,N/A,02/10/2025
Bán nhà quận 10 hẻm xe hơi khu vip Trường Sơn 5 tầng thang máy HĐ ~70tr/th gần ga Metro,"24,69 tỷ",75 m²,"329,2 tr/m²","Quận 10, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán Biệt thự 8x20 hầm 3 tầng KĐT An Phú An Khánh, Quận 2, Sổ hồng _ 0913 083 ***",35 tỷ,160 m²,"218,75 tr/m²","Quận 2, Hồ Chí Minh",5,6,02/10/2025
"Chính chủ! Full giỏ hàng Đảo Kim Cương 1PN, 2PN, 3PN, 4PN, duplex, cập nhật giá mới nhất T10/2025","7,5 tỷ",88 m²,"85,23 tr/m²","Quận 2, Hồ Chí Minh",2,2,02/10/2025
"Bán nhà hẻm Bạch Đằng, P 24, Bình Thạnh 160m 28p thu nhập 60tr/th. Vị trí trung tâm, gần mặt tiền",25 tỷ,"157,2 m²","159,03 tr/m²","Bình Thạnh, Hồ Chí Minh",28,28,02/10/2025
"Bán căn hộ officetel Sunrise City 36m2, view sân vườn","2,6 tỷ",36 m²,"72,22 tr/m²","Quận 7, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán căn 1PN + 1, DT 55m2 CC Hausneo trong KDC Khang An Đỗ Xuân Hợp, Phú Hữu, sát Q2, giá 2,99 tỷ","2,99 tỷ",55 m²,"54,36 tr/m²","Quận 9, Hồ Chí Minh",1,1,02/10/2025
"Bán nhà 3 Tầng mới xây, Đường Hoàng Văn THỤ , p2, Quận Tân bình",5 tỷ,27 m²,"185,18 tr/m²","Tân Bình, Hồ Chí Minh",3,3,02/10/2025
"Bán nền biệt thự đơn lập Sổ cá nhân KDC Khang Điền, DT: 195,5m Giá 19,5 Tỷ","19,5 tỷ","195,5 m²","99,74 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán nền biệt thự đơn lập Sổ cá nhân KDC Khang Điền, DT: 195,5m Giá 19,5 Tỷ","19,5 tỷ","195,5 m²","99,74 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán CC The Gold View, 5,5 tỷ, 64m2, 2PN, 1WC, Q4, HCM hàng hot bao đẹp","5,5 tỷ",64 m²,"85,94 tr/m²","Quận 4, Hồ Chí Minh",2,1,02/10/2025
Cần bán căn hộ có sổ tại quận 4. Giá bán 3 tỷ 7 nhà mới như hình.,"3,7 tỷ",61 m²,"60,66 tr/m²","Quận 4, Hồ Chí Minh",2,1,02/10/2025
"Giảm sốc 3 tỷ - CMT8, Q3 - ngay CV Lê Thị Riêng - chỉ nhỉnh 10 tỷ - 50m2",11 tỷ,49 m²,"224,49 tr/m²","Quận 3, Hồ Chí Minh",2,2,02/10/2025
"Bán nền biệt thự giá tốt nhất KDC Bách Khoa, DT: 446m2, Sổ cá nhân, Giá 59tr/m2","26,31 tỷ",446 m²,59 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán căn hộ chung cư tại Flora Panorama 4,9 tỷ, 85m2, 2PN + 2WC, nhiều tiện ích hấp dẫn","4,9 tỷ",85 m²,"57,65 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,02/10/2025
"Cần ra hàng gấp cần căn nhà tại Phan Văn Trị, Bình Thạnh, DT 65,45m2",Giá thỏa thuận,"65,45 m²",N/A,"Bình Thạnh, Hồ Chí Minh",4,3,02/10/2025
"Bán gấp Mỹ Viên PMH 118m2, full 3PN giá tốt 7,7 tỷ","7,7 tỷ",118 m²,"65,25 tr/m²","Quận 7, Hồ Chí Minh",3,2,02/10/2025
"Bán nhà ngay mặt tiền đường Phạm Hữu Lầu - Q7, giáp Phú Mỹ Hưng - 7 tỷ 9","7,9 tỷ","73,6 m²","107,34 tr/m²","Quận 7, Hồ Chí Minh",4,4,02/10/2025
"Bán nhanh căn 2PN Infiniti 91m2 chỉ 7tỷ4, view Phú Mỹ Hưng thoáng đẹp, nhà rộng rãi giá cực tốt","7,4 tỷ",91 m²,"81,32 tr/m²","Quận 7, Hồ Chí Minh",2,2,02/10/2025
"Khan hiếm! Chỉ ~218tr/m2 bán gấp nhà Hoàng Hoa Thám, Bình Thạnh 2 MT trước sau DT 20mx23m, CN 460m2",100 tỷ,460 m²,"217,39 tr/m²","Bình Thạnh, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán lô đất HXT 106/7a Bình Lợi, P13, BT, (DT: 10x24m), CN 240m2, Sổ hồng riêng, Giá bán: 30 tỷ",30 tỷ,240 m²,125 tr/m²,"Bình Thạnh, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán Penthouse Midtown Phú Mỹ Hưng - view sông đẹp, nhìn Quận 1. Liên hệ em Loan 0907 904 ***",45 tỷ,270 m²,"166,67 tr/m²","Quận 7, Hồ Chí Minh",4,5,02/10/2025
"Bán căn hộ cao cấp Kiều by KITA - Mua trực tiếp CĐT,view đẹp không vướng, giá rẻ có 1 không 2!",Giá thỏa thuận,155 m²,N/A,"Quận 5, Hồ Chí Minh",3,2,02/10/2025
"Bán nhà 1 sẹc đường Bình Long, giá 6,5 tỷ","6,5 tỷ","92,4 m²","70,35 tr/m²","Tân Phú, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán nhà 1 sẹc đường Tây Thạnh, giá 9 tỷ",9 tỷ,"54,5 m²","165,14 tr/m²","Tân Phú, Hồ Chí Minh",4,3,02/10/2025
"BÁN CĂN NHÀ PHẠM VĂN CHIÊU PHƯỜNG 14 (CỦ) -Mới PAHT- 50.1M -3LẦU HẺM 4M, GẦN ĐƯỜNG LỚN 40M,?","7,58 tỷ","50,1 m²","151,3 tr/m²","Gò Vấp, Hồ Chí Minh",4,5,02/10/2025
"Bán nhà riêng tại đường Phạm Văn Chiêu, 7,7tỷ, thương lượng - 60m2, 4PN, 5WC, giá siêu hời","7,7 tỷ",60 m²,"128,33 tr/m²","Gò Vấp, Hồ Chí Minh",4,5,02/10/2025
"Sở hữu ngay! Căn hộ chung cư Sky Garden Phú Mỹ Hưng 71m2 2PN 2WC 5,150 tỷ. LH 0935 382 *** Luân","5,15 tỷ",71 m²,"72,54 tr/m²","Quận 7, Hồ Chí Minh",2,2,02/10/2025
"Siêu phẩm nhà đẹp, phường xóm chiếu, Quận 4 giá chỉ: 5.699 tỷ chính chủ","5,7 tỷ","49,2 m²","115,83 tr/m²","Quận 4, Hồ Chí Minh",N/A,N/A,02/10/2025
"Chính chủ căn 70m2 Moonlight Park View, nhà mới 2 ban công, sổ hồng sẵn, nội thất","3,7 tỷ",70 m²,"52,86 tr/m²","Bình Tân, Hồ Chí Minh",2,1,02/10/2025
"Chính chủ cần bán nhà ngay trung tâm hành chính hóc môn, ngay bùng binh lê lợi (CÓ THƯƠNG LƯỢNG)","5,55 tỷ","86,2 m²","64,39 tr/m²","Hóc Môn, Hồ Chí Minh",4,3,02/10/2025
"Bán đất An Phú Đông 27, Quận 12, 62m2, đường nhựa 7m, khu dân cư sầm uất, giá chỉ 3,85 tỷ","3,85 tỷ",62 m²,"62,1 tr/m²","Quận 12, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán cặp căn hộ Midtown - Phú Mỹ Hưng, Quận 7. Liên hệ Ms Loan 0907 904 ***",35 tỷ,265 m²,"132,07 tr/m²","Quận 7, Hồ Chí Minh",6,6,02/10/2025
"Đất nền The Star Village 82,5m² (5x16,5m), pháp lý chuẩn, giá tốt, Nhà Bè",Giá thỏa thuận,"82,5 m²",N/A,"Nhà Bè, Hồ Chí Minh",N/A,N/A,02/10/2025
"SIÊU HIẾM! BÁN NHÀ BÌNH THẠNH - BÌNH LỢI, P13 - ĐỐI DIỆN CÔNG VIÊN - DT 4x15m - 4 TẦNG - 10,9 TỶ TL","10,9 tỷ",60 m²,"181,67 tr/m²","Bình Thạnh, Hồ Chí Minh",4,5,02/10/2025
"Đất nền The Star Village 125m² (5x25m), vị trí đẹp, pháp lý chuẩn, Nhà Bè",Giá thỏa thuận,125 m²,N/A,"Nhà Bè, Hồ Chí Minh",N/A,N/A,02/10/2025
"Nhà vườn 2 mặt tiền đẹp, vườn cây ăn trái, thiết kế đẹp, khu dân cư. 2000m2. Giá 9,6 tỷ TL","9,6 tỷ",2.000 m²,"4,8 tr/m²","Củ Chi, Hồ Chí Minh",2,2,02/10/2025
Bán nhà 1/ Nhị Bình 15. Cách Bùi Công Trừng 800m. Vị trí đẹp. Giá rẻ nhất khu vực,6 tỷ,335 m²,"17,91 tr/m²","Hóc Môn, Hồ Chí Minh",N/A,N/A,02/10/2025
"Giảm 100tỷ còn 73tỷ nhà 2 MT Phạm Văn Đồng đối diện Giga Mall 20x41m, XD 7 tầng, 2500m2, 300tr/th",73 tỷ,620 m²,"117,74 tr/m²","Thủ Đức, Hồ Chí Minh",3,1,02/10/2025
"Bán căn hộ Tân Mai, 48m2, 1PN, 1WC, lầu thấp view công viên, giá 1 tỷ 550tr, SHR","1,58 tỷ",48 m²,"32,92 tr/m²","Bình Tân, Hồ Chí Minh",1,1,02/10/2025
Bán đất ngộp ngân hàng full thổ TP HCM,22 tỷ,680 m²,"32,35 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Chính chủ bán căn hộ Gold View 80m2 2PN 2WC giá 6,15ty tầng đẹp (bao luôn 5% nhận sổ): 0937 934 ***","6,15 tỷ",80 m²,"76,88 tr/m²","Quận 4, Hồ Chí Minh",2,2,02/10/2025
"BÁN CĂN HỘ WATERINA SUITES- 2BR-7,500,000,000 VND- SPA","7,5 tỷ",80 m²,"93,75 tr/m²","Quận 2, Hồ Chí Minh",2,2,02/10/2025
Bán căn góc Global City mặt tiền Đỗ Xuân Hợp. Hàng hiếm siêu đẹp chỉ 90 tỷ. Giá siêu tốt,90 tỷ,"158,7 m²","567,11 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán biệt thự Mega Residence, giá cực chất 18,3 tỷ, 110m2, view đẹp","18,3 tỷ",110 m²,"166,36 tr/m²","Quận 9, Hồ Chí Minh",5,4,02/10/2025
Cần bán gấp căn hộ West Gate 59m2 giá chỉ 2.5 tỷ - 69m2: 3.1tỷ - 85m2: 3.5tỷ - 113m2: 4.350tỷ,"2,5 tỷ",59 m²,"42,37 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,02/10/2025
Bán đất gần đường 51 - phường An Phú - khu dân cư Văn Minh Sông Giồng,40 tỷ,214 m²,"186,92 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,02/10/2025
Giảm 10 tỷ bán nhà mặt tiền Trần Thiện Chánh P12 Quận 10 ngang 11x18m giá giảm 82 tỷ còn 72 tỷ,72 tỷ,198 m²,"363,64 tr/m²","Quận 10, Hồ Chí Minh",20,10,02/10/2025
"Ban quản lí bán căn hộ An Phú Q6, 52m, 1 phòng, 2,5 tỷ, 112m, 3 phòng, 3,99 tỷ, sổ hồng. 0901 499 ***","2,5 tỷ",52 m²,"48,08 tr/m²","Quận 6, Hồ Chí Minh",1,1,02/10/2025
"Ban quản lí bán căn hộ An Phú Q6, 52m, 1 phòng, 2,5 tỷ, 112m, 3 phòng, 3,99 tỷ, sổ hồng. 0901 499 ***","2,5 tỷ",52 m²,"48,08 tr/m²","Quận 6, Hồ Chí Minh",1,1,02/10/2025
"Bán đất đẹp tại Nhuận Đức, Củ Chi, HCM, tại Nhuận Đức, Củ Chi, HCM, 35tỷ, 1827.4m2 nhiều tiện ích",35 tỷ,"1.827,4 m²","19,15 tr/m²","Củ Chi, Hồ Chí Minh",N/A,N/A,02/10/2025
Bán nhà ngay Phổ Quang - Phạm Cự Lượng - HXH - 4 tầng - chính chủ gấp bán - TL Mạnh,"13,7 tỷ",62 m²,"220,97 tr/m²","Tân Bình, Hồ Chí Minh",4,5,02/10/2025
Bán căn góc Global City mặt tiền Đỗ Xuân Hợp. Hàng hiếm siêu đẹp chỉ 90 tỷ. Giá siêu tốt,90 tỷ,"158,7 m²","567,11 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán nhà riêng tại KDC Bình Hưng, 12 tỷ, 108,1m2, 5PN, 5WC, pháp lý đầy đủ",12 tỷ,"108,1 m²","111,01 tr/m²","Bình Chánh, Hồ Chí Minh",5,5,02/10/2025
"Chính chủ cần bán căn hộ, VP MT Eastmark City giá đầu tư 2.3 tỷ, sổ sẵn, hỗ trợ vay NH 6%","2,3 tỷ",65 m²,"35,38 tr/m²","Quận 9, Hồ Chí Minh",1,1,02/10/2025
"Bán căn hộ Riverside Residence giá cực chất 16,2 tỷ, 180m2, 3PN, 2WC, view đẹp","16,5 tỷ",180 m²,"91,67 tr/m²","Quận 7, Hồ Chí Minh",3,3,02/10/2025
Giỏ hàng giá tốt nhất dự án nhà phố Lovera Park T10/2025. LH 0907 705 *** Sang,"6,6 tỷ",75 m²,88 tr/m²,"Bình Chánh, Hồ Chí Minh",3,3,02/10/2025
Giỏ hàng 99 căn hộ Vinhome Ba Son bán nhà đẹp ngay trung tâm Q1. Liên hệ: 0979 669 ***,"7,8 tỷ",78 m²,100 tr/m²,"Quận 1, Hồ Chí Minh",2,2,02/10/2025
Diamond Sky - căn hộ cao cấp duy nhất tại Vạn Phúc City - chính thức nhận booking LH 0926 272 ***,"7,9 tỷ",69 m²,"114,49 tr/m²","Thủ Đức, Hồ Chí Minh",N/A,N/A,02/10/2025
Bán biệt thự 14 tỷ - gần đường Nguyễn Thị Định - P. Bình Trưng Tây,14 tỷ,164 m²,"85,37 tr/m²","Quận 2, Hồ Chí Minh",5,7,02/10/2025
"Giỏ hàng giới hạn - đúng giá D'Lusso 2PN-2WC giá chỉ từ 79 triệu/m2, đã có sổ hồng, zalo 0909 621 ***","5,5 tỷ","68,5 m²","80,29 tr/m²","Quận 2, Hồ Chí Minh",2,2,02/10/2025
"Chính chủ bán gấp 2 lô đất liền kề 1600m²/lô tại Hưng Long, Bình Chánh | SHR. Giá chỉ 5tr/m2",7 tỷ,1.600 m²,"4,38 tr/m²","Bình Chánh, Hồ Chí Minh",N/A,N/A,02/10/2025
"GÓC 2 MT ĐƯỜNG VÕ VĂN NGÂN, TP. THỦ ĐỨC, ĐANG CHO VUS THUÊ 400TR/THÁNG, GIÁ BÁN 95 TỶ",95 tỷ,450 m²,"211,11 tr/m²","Thủ Đức, Hồ Chí Minh",5,5,02/10/2025
Bán đất khu dân cư Phú Xuân Vạn Phát Hưng giá 46tr/m2. DT 132m2. Liên hệ 0938 294 ***,"6,07 tỷ",132 m²,46 tr/m²,"Nhà Bè, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán nhà - phường Thảo Điền, Quận 2 ( 17.9 tỷ)","17,9 tỷ",51 m²,"350,98 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán CH Richstar Novaland 2PN1WC giá 2tỷ8, 2PN2WC giá 3 tỷ, 3PN giá 3,8 tỷ, nhàđẹp hướngmát, vay 70%","2,9 tỷ",65 m²,"44,62 tr/m²","Tân Phú, Hồ Chí Minh",2,2,02/10/2025
"Hạ giá 4 tỷ để bán nhanh, MT CXPLD 5 tầng chỉ 9.5 tỷ","9,5 tỷ",60 m²,"158,33 tr/m²","Quận 6, Hồ Chí Minh",5,4,02/10/2025
"Giỏ hàng nhà phố Vinhomes Cần Giờ - Vinhomes Green Paradise, giá chỉ từ 18 tỷ, LH ngay: 0938 078 ***",18 tỷ,75 m²,240 tr/m²,"Cần Giờ, Hồ Chí Minh",N/A,N/A,02/10/2025
"Cần bán căn hộ chung cư HaDo Centrosa 107m2, 2PN+, Q. 10, giá: 12 tỷ, LH: 0903 077 ***. Được",12 tỷ,107 m²,"112,15 tr/m²","Quận 10, Hồ Chí Minh",2,2,02/10/2025
"Cần bán căn hộ chung cư HaDo Centrosa 107m2, 2PN+, Q. 10, giá: 12 tỷ, LH: 0903 077 ***. Được",12 tỷ,107 m²,"112,15 tr/m²","Quận 10, Hồ Chí Minh",2,2,02/10/2025
Bán chung cư Hưng Phát Silver Star 75m2 Giá 3.4 tỷ LH 0907 876 ***,"3,4 tỷ",74 m²,"45,95 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,02/10/2025
"Biệt thự đơn lập khu Compound Q9 - kế ga Metro, cạnh sân Golf, giá 66 triệu/m2 tốt nhất Tp. Thủ Đức",26 tỷ,384 m²,"67,71 tr/m²","Quận 9, Hồ Chí Minh",4,5,02/10/2025
"Chính chủ cần bán gấp căn hộ D'Lusso quận 2 full nội thất cao cấp, nhận nhà ở ngay giá 6.2 tỷ","6,2 tỷ","68,5 m²","90,51 tr/m²","Quận 2, Hồ Chí Minh",2,2,02/10/2025
"Nhà mặt tiền đường 11, Phường Hiệp Bình Phước, gần khu đô thị Vạn Phúc","7,5 tỷ",91 m²,"82,42 tr/m²","Thủ Đức, Hồ Chí Minh",3,N/A,02/10/2025
Bán đất biệt thự HAMT đối diện The Global City chỉ 98tr/m2. LH: 0938 078 *** Ms. Sang,"24,5 tỷ",250 m²,98 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Chuyên bán nhiều CHCC Terra Royal 2PN giá 6tỷ180,2pn-7.5tỷ, 3pn 8tỷ5. LH em qua sđt: 0833 755 ***","7,5 tỷ",72 m²,"104,17 tr/m²","Quận 3, Hồ Chí Minh",2,2,02/10/2025
Bán 2000m2 đất thổ cư xã xuân thới đông hóc môn chỉ 65ty lô góc,65 tỷ,2.000 m²,"32,5 tr/m²","Hóc Môn, Hồ Chí Minh",N/A,N/A,02/10/2025
"Mặt tiền Nguyễn Công Trứ ngang 4,8m x dài 12m cần bán gấp trong ngày","14,4 tỷ",50 m²,288 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,N/A,02/10/2025
"Cần sang nhượng CH Q7 Boulevard 2PN, 2WC (70m2) giá bán chỉ 2.950 tỷ. LH 0904 469 ***","2,95 tỷ",70 m²,"42,14 tr/m²","Quận 7, Hồ Chí Minh",2,2,02/10/2025
Giỏ hàng Cần bán nhiều CHCC tại Cityland Park Hills. 1PN-3.6 tỷ.2PN- 4.6 tỷ .LH em.0833 755 ***,"3,6 tỷ",50 m²,72 tr/m²,"Gò Vấp, Hồ Chí Minh",1,1,02/10/2025
"Giỏ hàng CĐT 10 căn 2PN giá mua từ An Gia, CK 8% xem nhà thực tế. LH 0931 793 ***",3 tỷ,69 m²,"43,48 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,02/10/2025
Căn hộ 1 phòng ngủ ~55m2 - giá chỉ từ 119triệu/m2 tại Quận 2 sát cạnh Global City,"6,51 tỷ","54,7 m²","119,01 tr/m²","Quận 2, Hồ Chí Minh",1,N/A,02/10/2025
"Đại lý chuyển nhượng căn hộ lớn nhất Masteri An Phú - giỏ hàng đầy đủ từ 1 - 2 - 3 PN, Penthouse","6,7 tỷ",75 m²,"89,33 tr/m²","Quận 2, Hồ Chí Minh",2,2,02/10/2025
"Duy nhất 1 lô - Ngay Gigamall - chỉ 50 triệu/m2 - Không lộ giới, không quy hoạch - View công viên","15,5 tỷ",306 m²,"50,65 tr/m²","Thủ Đức, Hồ Chí Minh",N/A,N/A,02/10/2025
RỔ HÀNG ĐẤT TRƯỜNG THỌ-ĐƯỜG NHỰA Ô TÔ ĐẬU NGÀY ĐÊM-DÂN CƯ TRI THỨC-TIỆN ÍCH BẠT NGÀN-KHU ĐỒNG BỘ,"6,5 tỷ","66,9 m²","97,16 tr/m²","Thủ Đức, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán nhà Mặt tiền trung tâm Quận 3 , Hai Bà Trưng - 4,2x17m -5 tầng -Vị trí đất địa - Giá: 35 tỷ",35 tỷ,70 m²,500 tr/m²,"Quận 3, Hồ Chí Minh",N/A,N/A,02/10/2025
Chính chủ! Mặt tiền 99 CMT8 - P.Bến Thành - Ngang 8.5m - 3 tỷ/năm - nhỉnh 100 tỷ,100 tỷ,120 m²,"833,33 tr/m²","Quận 1, Hồ Chí Minh",N/A,N/A,02/10/2025
NHÀ ĐƯỜNG BÙI ĐÌNH TUÝ GẦN 50M2 2TẦNG NỞ HẬU HẺM XE HƠI 1SẸC NHỈNH 6TỶ (CÒN GIẢM) TIỆN CẢI TẠO,6 tỷ,50 m²,120 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,1,02/10/2025
Bán căn hộ Chung cư Sky 9 / 2 phòng ngủ giá tốt chỉ từ 2 tỷ 45,"2,45 tỷ",50 m²,49 tr/m²,"Quận 9, Hồ Chí Minh",2,1,02/10/2025
Tiềm năng nhà NGUYỄN ĐÌNH CHIỂU - Q3 - Hẻm Ô TÔ thông - 39M2 - 2 TẦNG - Tăng giá vù vù,"6,5 tỷ",39 m²,"166,64 tr/m²","Quận 3, Hồ Chí Minh",2,2,02/10/2025
Cực sốc góc 2 mặt tiền Nguyễn Xí Bình Thạnh Highland thuê 55tr/th chốt nhanh 23 tỷ!,23 tỷ,115 m²,200 tr/m²,"Bình Thạnh, Hồ Chí Minh",N/A,N/A,02/10/2025
NHÀ ĐƯỜNG PHAN ĐĂNG LƯU 51M2 2 TẦNG BTCT NỞ HẬU HẺM XE HƠI THÔNG CHỈ 7 TỶ (CÒN GIẢM) TIỆN SỮA CHỮA,7 tỷ,51 m²,"137,26 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2,02/10/2025
"Giảm 200tr hẻm oto NHÀ 1 TRỆT 1 LẦU - NGUYỄN KIỆM, GÒ VẤP - GIÁ 2,85","2,85 tỷ",25 m²,114 tr/m²,"Gò Vấp, Hồ Chí Minh",2,3,02/10/2025
"Biệt thự 3 tầng cực chất tại Villa Park, Quận 9, diện tích 195m2, 5PN, hướng Đông Nam, giá tốt",22 tỷ,195 m²,"112,82 tr/m²","Quận 9, Hồ Chí Minh",5,6,02/10/2025
"Bán nhà Phan Anh giáp Tân Phú. Đầm Sen, 40m2 kế hẻm xe hơi thông tứ tung. Giá 3.6 tỷ","3,6 tỷ",40 m²,90 tr/m²,"Bình Tân, Hồ Chí Minh",2,2,02/10/2025
"Cần bán nhà mặt tiền đường 10m, xe tải chạy thoải mái, chính chủ bán nhanh, có TL",12 tỷ,"95,2 m²","126,05 tr/m²","Tân Phú, Hồ Chí Minh",4,3,02/10/2025
"Bán căn hộ Ascent Lakeside DT 152m2 3PN 2WC - 8,05 tỷ - giỏ hàng CĐT, TT 50% nhận nhà, 0% lãi suất","8,05 tỷ",152 m²,"52,96 tr/m²","Quận 7, Hồ Chí Minh",3,2,02/10/2025
CỰC PHẨM QUẬN 6!!! Nhà (4x24m - 4 tấm) MTKD Lý Chiêu Hoàng gần Bình Phú,"17,4 tỷ",96 m²,"181,25 tr/m²","Quận 6, Hồ Chí Minh",5,6,02/10/2025
Giảm sốc gần 3 tỷ! Nhà (12x16m) kiểu biệt thự khu CXPL A - Kinh Dương Vương - Hậu Giang Quận 6,"20,9 tỷ",185 m²,"112,97 tr/m²","Quận 6, Hồ Chí Minh",4,5,02/10/2025
"Nhà 5 lầu 5x18,5 Mặt tiền Huỳnh Tấn phát giá tốt chỉ 11tỷ8","11,8 tỷ","92,5 m²","127,57 tr/m²","Nhà Bè, Hồ Chí Minh",4,5,02/10/2025
"Bán đất BCR Tam Đa khu xây dựng tự do, Phường Trường Thạnh, Quận 9 cũ","7,25 tỷ",145 m²,50 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Chính chủ bán đất tại Cát Lái, Quận 2, Hồ Chí Minh, giá cực chất 22 tỷ, diện tích 221.2m2",22 tỷ,"221,2 m²","99,46 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,02/10/2025
Chủ nhà bán Sky Linked Villa-3PN 2WC trả giãn 36 tháng - Căn hộ xe hơi chạy lên tận nhà,Giá thỏa thuận,201 m²,N/A,"Tân Phú, Hồ Chí Minh",3,2,02/10/2025
GIỎ HÀNG NỘI BỘ 100 CĂN AURORA Q8 GIÁ ĐANG TĂNG THEO TIẾN ĐỘ 52m2 2ty100_ 68m2 2ty600_ 76m2_3ty,"2,1 tỷ",52 m²,"40,38 tr/m²","Quận 8, Hồ Chí Minh",1,1,02/10/2025
"Bán nhà riêng Quốc Lộ 13, Hiệp Bình Phước, Thủ Đức, giá ưu đãi 19 tỷ, 270 m2",19 tỷ,270 m²,"70,37 tr/m²","Thủ Đức, Hồ Chí Minh",5,3,02/10/2025
Siêu phẩm đất 1500m² thổ cư 100% có nhà cấp 4 chỉ 10 tỷ,10 tỷ,1.500 m²,"6,67 tr/m²","Nhà Bè, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán nhà căn góc Nguyễn Xí, Bình Thạnh - 5 tầng, 8 phòng - thu nhập 40 triệu/tháng",11 tỷ,60 m²,"183,33 tr/m²","Bình Thạnh, Hồ Chí Minh",8,8,02/10/2025
"Bán nhà mặt tiền Huỳnh Tấn Phát. Mặt tiền lớn, rộng 5.5m, rất thuận tiện kinh doanh, mua bán","17,8 tỷ","94,6 m²","188,16 tr/m²","Quận 7, Hồ Chí Minh",5,3,02/10/2025
"Bán nhà riêng Quốc Lộ 13, Hiệp Bình Phước, Thủ Đức, giá ưu đãi 19 tỷ, 270 m2",19 tỷ,270 m²,"70,37 tr/m²","Thủ Đức, Hồ Chí Minh",5,3,02/10/2025
"Chính chủ bán đất tại Lò Lu, Trường Thạnh, Quận 9, HCM với giá cực chất 28 tỷ, 520m2 thổ cư 400m2",26 tỷ,520 m²,50 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
"Bán Nhà Mặt Phố 20C/1 Nguyễn Duy Trinh, 15,9 tỷ, 119 m2, Phường Long Trường, Quận 9, TP.HCM","15,9 tỷ",119 m²,"133,61 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
CHÍNH CHỦ BÁN GẤP - NHÀ 4 TẦNG - CÁCH MẶT TIỀN 20M - HUỲNH TẤN PHÁT - QUẬN 7 - CHỈ 7.X TỶ,"7,5 tỷ",109 m²,"68,81 tr/m²","Quận 7, Hồ Chí Minh",5,3,02/10/2025
Tầm nhìn Siêu lợi nhuận!!! 640m2 đất góc 3MT đường Huỳnh Tấn Phát - Giá chỉ 81 tỷ - GPXD Hầm 8 tầng,81 tỷ,640 m²,"126,56 tr/m²","Quận 7, Hồ Chí Minh",N/A,N/A,02/10/2025
"Ngộp bank bán gấp nhà mặt tiền đường 10, TP. Thủ Đức, sổ vay 21,5 tỷ giá bán chỉ 23 tỷ",23 tỷ,369 m²,"62,33 tr/m²","Thủ Đức, Hồ Chí Minh",1,1,02/10/2025
Nhà đẹp HXH Lê Đức Thọ phường 13 Gò Vấp- Ngang khủng 6m dài 15m (90m2)- hơn 7 tỷ,"7,9 tỷ",90 m²,"87,78 tr/m²","Gò Vấp, Hồ Chí Minh",4,2,02/10/2025
Bán lô đất rẻ nhất khu dân cư Gia Hoà Q9 chỉ 12tỷ/100m2 cách Huy Cận 30m. LH0938 078 ***,12 tỷ,100 m²,120 tr/m²,"Quận 9, Hồ Chí Minh",N/A,N/A,02/10/2025
